,Libro,Autor,Sinopsis
51,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Ferran Adria,"Candy es un destilado de la cocina dulce creada en los restaurantes de elBarri a largo de toda una decada (2011-2021). La última fase de su confección coincidió con la clausura de elBarri: ese irrepetible parque de atracciones gastronomico del que formaban parte Tickets, Bodega 1900, Hoja Santa, Pakta y Enigma. Para Albert Adria y David Gil &#x02014;alma mater y jefe de pasteleria de elBarri, respectivamente&#x02014;, este libro representa un alto en mitad de sus carreras, una pausa que ha traido consigo un bien de incalculable valor: la oportunidad de volver la vista atras, de evaluar los exitos alcanzados y replantearse las proximas metas. Hemos querido que Candy se exprese de dos maneras distintas: mediante un libro con las fotografias de los postres, acompañadas de una breve explicacion de su concepto para que las imagenes hablen por si mismas; y mediante un recetario, en el cual se explica de forma detallada la elaboracion de cada plato."
52,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Soler Soler,"A la orilla del río Liu narra las vivencias de Carlos, un joven..."
53,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Albert Adria,"Minas de diamantes, grandes fortunas, herencias, funerales, infidelidades y chantajes se dan la mano para acompañarnos en el transcurso de esta novela. El legado de don Salvatore Quadrifoglio es una rocambolesca historia que nace con dos funerales: el del humilde padre franciscano Teófilo Espinosa y el del magnate italiano Salvatore Quadrifoglio. Escrito con cierto sentido del humor ligado por la disparidad de sus personajes, nos descubre la historia de una herencia cargada de tramas e intrigas."
54,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Albert Adria,"En el libro, el propio David Gil realiza tres emotivos viajes en el tiempo, en compañía de los lectores que tengan curiosidad por conocer algunas de las últimas Colonias españolas. El autor combina la nostalgia y la fabula de viajar en el tiempo, con unos escenarios reales, unos datos veridicos salvo alguna adaptacion, y un poco de sentido del humor en algunos momentos. Las pequeñas fotografias de la epoca, ayudaran al lector a sumergirse en cada lugar y proporcionaran una vision mas humana de cada escenario. La idea del libro, no es solo proporcionar un leve conocimiento de como eran esas Colonias, sino conseguir que el lector guarde recuerdos de vivencias que el mismo pudiese haber vivido en esas tierras, durante aquellos años.En Guinea, pasaremos unos dias con personas que dieron su vida por una aventura, unos por la aventura de ayudar a los demas, y otros en busca de una vida diferente. En Manila, el autor y sus lectores, buscaran a una chica perdida en el recuerdo de un familiar, y en La Habana conoceremos un noble oficio en compañia de unos personajes que despues solo dejaremos dormidos en el libro, y no en el alma.No se ha buscado el aspecto politico, ni se ha recurrido a los topicos de cada escenario; al contrario, se ha buscado la imagen mas humana y humilde de cada sitio, sacando a flote aquello de lo que no se habla normalmente en los libros de historia, y acercando al lector a los recuerdos de una España unica y diferente."
55,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Albert Adria,"Recetas sin postureo por David de Jorge y Martín Berasategui. Vuelve el dúo más querido de la cocina española con un libro de recetas  prácticas, sin secretos y con mucha miga para nuestro menú diario. Una  cocina sencilla, que contagia el buen rollo y el entusiasmo y convierte el mundo de la gastronomia en algo accesible y divertido. Huyendo de extravagancias, bobadas e ingredientes extraños, Martin  Berasategui y David de Jorge nos dan las claves mas deliciosas para  sobrevivir a una vida ocupada. Ensaladas, sopas, cremas, carnes, salsas,  aderezos, postres, arroces y pastas desfilan por este libro con el que preparar comida de verdad. Recetas disfrutonas para el siglo XXI. La critica ha dicho..."
56,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Albert Adria,"Un recetario único, sin patochadas, cargado de buen rollo y buenos  ingredientes por David de Jorge y Martín Berasategui.  Amantes de la cocina, ¡uníos! Vuelve la cocina de Robin Food para sacar el chef que llevas dentro. David de Jorge y Martin Berasategui, dos de las estrellas de nuestro  firmamento gastronomico, siempre han defendido la misma causa:  cocinar  sin patochadas y con una concentracion total en el disfrute. Por eso han  elaborado este irreverente pero practico recetario para el menu de cada  dia. Una cocina sencilla, llena de buen rollo y con sentido comun que  rehuye de las extravagancias, los postureos y los ingredientes exoticos,  y que contiene recetas para gente ocupada, preocupada y con buen paladar. Desde aperitivos, ensaladas, sopas y cremas, carnes, salsas y aderezos  hasta los postres, arroces y pastas, pero tambien platos y cocteles para  las ocasiones mas especiales, en estas paginas aprenderemos el arte, casi abandonado, de la gastronomia domestica de calidad. ¿Nostalgia de la buena cocina? He aqui un libro imprescindible para quienes nos gusta cocinar, disfrutar y compartir comida de verdad, sin verguenza."
57,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Ferran Adria,El ideario del chef de modaGalardonado por los prestigiosos Gourmand World Cookbooks Awards 2011: Premio Best Book in the WorldDavid de Jorge define su trabajo como «pura exaltación de la gula y el
58,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Soler Soler,"Un recetario para seguir una dieta alegre elaborado por dos de los  grandes cocineros del panorama gastronómico español.Un recetario único con estrella Michelín.Si quieres adelgazar sin sentirte la persona mas desgraciada del  planeta, y disfrutar comiendo mientras bajas kilos con alegria, prueba  las recetas que han ayudado a David de Jorge, el cocinero mas dicharachero del panorama culinario español, a perder 130 kilos.Los grandes chefs Martin Berasategui y David de Jorge nos proponen  platos saludables y apetitosos. Mano a mano han elaborado mas de 100  recetas adelgazantes pero sabrosas que nos demuestran que el guiso no  esta reñido con la dieta: tortilla de patata trampa, sangria y salsa  bechamel adelgazantes, perdices guisadas, higos con queso fresco, chile con carne adelgazante o pastel de pollo asado.Una vez iniciado el proceso de alimentarte con sentido comun,  parecera que comes por primera vez y te convertiras en una tabla rasa.  Lo borras todo, no hay registros. Todo sabe increible. No encuentras antecedentes en el archivo y decidiras si te gusta. Gozaras con todo lo que te rodea. Te divertiras como nunca comiendo.Extractos de Los veinte mandamientos de David de Jorge"
59,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Ferran Adria,"Recetas sinpostureo por David de Jorge y MartínBerasategui.Vuelve el dúo más querido de la cocina española con un libro de recetas  prácticas, sin secretos y con mucha miga para nuestro menú diario.  Una  cocina sencilla, que contagia el buen rollo y el entusiasmo y convierte el mundo de la gastronomia en algo accesible y divertido.Huyendo de extravagancias, bobadas e ingredientes extraños, Martin  Berasategui y David de Jorge nos dan las claves mas deliciosas para  sobrevivir a una vida ocupada. Ensaladas, sopas, cremas, carnes, salsas,  aderezos, postres, arroces y pastas desfilan por este libro con el que preparar comida de verdad.Recetas disfrutonas para el siglo XXI."
60,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Albert Adria,"999 recetas prácticas para cada día, elaboradas por uno de los cocineros más reputados del país.Más de 999 recetas sin bobadas llega de la mano de dos de las  estrellas más brillantes del firmamento  gastronomico, Martin Berasategui  y David de Jorge. Recetas practicas para el menu de cada dia presentadas  en el programa de cocina mas irreverente y de mas audiencia de la television vasca: Robin Food. Atracon a mano armada.Una cocina sencilla y con sentido comun toma forma en este nutrido  recetario que se aleja de las extravagancias y de los ingredientes  exoticos, recetas para gente ocupada y con buen gusto: ensaladas, sopas  y cremas, bocadillos, salsas y aderezos, pero tambien platos elaborados y cocteles para las ocasiones mas especiales."
61,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Albert Adria,"Un recetario único, sin patochadas, cargado de buen rollo y buenos  ingredientes por David de Jorge y Martín Berasategui.Amantes de la cocina, ¡uníos!Vuelve la cocina deRobinFood para sacar el chef que llevas dentro.David de Jorge y Martin Berasategui, dos de las estrellas de nuestro  firmamento gastronomico, siempre han defendido la misma causa:  cocinar  sin patochadas y con una concentracion total en el disfrute. Por eso han  elaborado este irreverente pero practico recetario para el menu de cada  dia. Una cocina sencilla, llena de buen rollo y con sentido comun que  rehuye de las extravagancias, los postureos y los ingredientes exoticos,  y que contiene recetas para gente ocupada, preocupada y con buen paladar.Desde aperitivos, ensaladas, sopas y cremas, carnes, salsas y aderezos  hasta los postres,arroces y pastas, pero tambien platos y cocteles para  las ocasiones mas especiales, en estas paginas aprenderemos el arte, casi abandonado, de la gastronomia domestica de calidad.¿Nostalgia de la buena cocina?He aqui un libro imprescindible para quienes nos gusta cocinar, disfrutar y compartir comida de verdad, sin verguenza."
62,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Ferran Adria,El ideario del chef de modaGalardonado por los prestigiosos Gourmand World Cookbooks Awards 2011: Premio Best Book in the WorldDavid de Jorge define su trabajo como «pura exaltación de la gula y el
63,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Ferran Adria,"999 recetas prácticas para cada día, elaboradas por uno de los cocineros más reputados del país. Más de 999 recetas sin bobadas llega de la mano de dos de las  estrellas más brillantes del firmamento gastronomico, Martin Berasategui  y David de Jorge. Recetas practicas para el menu de cada dia presentadas  en el programa de cocina mas irreverente y de mas audiencia de la television vasca: Robin Food. Atracon a mano armada. Una cocina sencilla y con sentido comun toma forma en este nutrido  recetario que se aleja de las extravagancias y de los ingredientes  exoticos, recetas para gente ocupada y con buen gusto: ensaladas, sopas  y cremas, bocadillos, salsas y aderezos, pero tambien platos elaborados y cocteles para las ocasiones mas especiales."
64,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Albert Adria,"Una historia gráfica que relata el día a día en la cocina de dos de los mejores chefs españoles.Incluye recetas increíbles.Año 2015 después de Jesucristo. Todo el Universo gastronómico está  ocupado  por cocineros filosofos... ¿Todo? ¡No! Un restaurante poblado  por irreductibles cocineros vascos resiste todavia y siempre al invasor...Es el de Martin Berasategui en Lasarte (Guipuzcoa), y es mucho mas que  un restaurante con tres estrellas Michelin. Es un lugar donde, ademas de  producirse el milagro de la alta cocina, se esconde la guarida del gran David de Jorge y el plato de su programaRobin Food.Martin y David, protagonizan este comic donde evolucionan sus  biografias, entremezclandose con la Historia de la gastronomia, de la  que forman parte. Es la historia de una cocina sin fronteras pero con  origenes, de una forma de cocinar que es el resultado de la busqueda de  la felicidad cotidiana y de una forma disfrutona de entender y vivir la vida.Con este libro de miniaturas dibujadas y perpetradas por Javirroyo  conoceras mejor a estos dos titanes de los fogones y disfrutaras de una  seleccion de 46 recetas ilustradas paso a paso que podras realizar de  forma sencilla en tu casa. Todo guisado con cariño y risas a partes iguales.Reseña:Javirroyo es un francotirador del humor.Faro de Vigo"
65,"[[' '], ['\n            Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de LA ENCICLOPEDIA DE LOS SABORES\n      '], [' '], ['Nº de páginas:'], [' '], ['560'], ['Editorial:'], [' '], ['DEBATE'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788499920139'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], ['Traductor:'], [' '], [' JUAN MANUEL IBEAS DELGADO'], ['Fecha de lanzamiento:'], [' '], ['22/09/2021']]",Albert Adria,"Un recetario para seguir una dieta alegre elaborado por dos de los  grandes cocineros del panorama gastronómico español. Un recetario único con estrella Michelín. Si quieres adelgazar sin sentirte la persona mas desgraciada del  planeta, y disfrutar comiendo mientras bajas kilos con alegria, prueba  las recetas que han ayudado a David de Jorge, el cocinero mas dicharachero del panorama culinario español, a perder 130 kilos. Los grandes chefs Martin Berasategui y David de Jorge nos proponen  platos saludables y apetitosos. Mano a mano han elaborado mas de 100  recetas adelgazantes pero sabrosas que nos demuestran que el guiso no  esta reñido con la dieta: tortilla de patata ""trampa"", sangria y salsa  bechamel adelgazantes, perdices guisadas, higos con queso fresco, chile con carne adelgazante o pastel de pollo asado.  ""Una vez iniciado el proceso de alimentarte con sentido comun,  parecera que comes por primera vez y te convertiras en una tabla rasa.  Lo borras todo, no hay registros. Todo sabe increible. No encuentras antecedentes en el archivo y decidiras si te gusta. Gozaras con todo lo que te rodea. Te divertiras como nunca comiendo.""Extractos de ""Los veinte mandamientos"" de David de Jorge"
66,"[[' '], ['\n            Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n      '], [' '], ['Nº de páginas:'], [' '], ['256'], ['Editorial:'], [' '], ['ANAYA MULTIMEDIA'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788441544901'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['25/11/2021']]",David Gil,"Más de 20.000 ejemplares vendidos.  Vuelve la cocina de Robin Food TV.  Edición ampliada con recetas nuevas. Mucho más de 999 recetas sin bobadas llega de la mano de dos de  las estrellas más brillantes del firmamento gastronomico, Martin  Berasategui y David de Jorge. Recetas practicas para el menu de cada dia  presentadas en el canal de cocina mas irreverente de nuestro pais: Robin Food TV. Una cocina sencilla, llena de buen rollo y con sentido comun toma forma  en este nutrido recetario que rehuye de las extravagancias y de los  ingredientes exoticos, y contiene recetas para gente ocupada y con buen  gusto: ensaladas, sopas y cremas, bocadillos, salsas y aderezos, pero  tambien platos elaborados y cocteles para las ocasiones mas especiales. Convertido ya en un clasico de su genero, este libro es  imprescindible para todos los que nos gusta comer comida de verdad. Un  recetario unico, sin fantochadas y con buenos ingredientes."
67,"[[' '], ['\n            Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n      '], [' '], ['Nº de páginas:'], [' '], ['256'], ['Editorial:'], [' '], ['ANAYA MULTIMEDIA'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788441544901'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['25/11/2021']]",David Gil,"¿Es un avión?, ¿un libro de recetas?, ¿un cómic? ¡Sí! Es el gran  libro de recetas de la tortilla de patatas, icono fundamental y emblema nacional de la cocina popular española.   Nueve recetas esenciales de tortilla de patata, nueve de acompañantes  a la susodicha y las 9 anti-recetas tortilla de patatas (ojo a la  seleccion). Desternillante, entretenido y muy util en la cocina. ¿Que fue antes? ¿El huevo? ¿La gallina? ¿O la cebolla? Para David de Jorge la respuesta es obvia: el huevo es el origen. El huevo es generoso. David de Jorge se alia de nuevo con el ilustrador Javi Royo para contar  la historia de un plato imprescindible de la gastronomia española: la tortilla de patatas. En este libro David de Jorge repasa los origenes de la tortilla de  patatas y la receta original de la misma, y explica como la tortilla, no  conforme con sus ingredientes habituales y en su busqueda de nuevos  horizontes, se convierte en rico objeto de experimentacion en manos de  grandes cocineros que se dedican a crear deliciosas y salvajes variantes  de la receta original... Hasta llegar al capitulo final: la tortilla apoteosica."
68,"[[' '], ['\n            Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n      '], [' '], ['Nº de páginas:'], [' '], ['256'], ['Editorial:'], [' '], ['ANAYA MULTIMEDIA'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788441544901'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['25/11/2021']]",David Gil,
69,"[[' '], ['\n            Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n      '], [' '], ['Nº de páginas:'], [' '], ['256'], ['Editorial:'], [' '], ['ANAYA MULTIMEDIA'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788441544901'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['25/11/2021']]",David Gil,"El libro propone la recreación literaria de los recuerdos gastronómicos, utilizando recursos poco frecuentes en el género: autobiografía, ironía, sarcasmo, prosa humorística, comenzando, claro está, por ellos mismos. Aborrecen lo superfluo y así lo proclaman con energía, utilizando una prosa que inmediatamente embauca al lector, sobre todo, por la manera en que hablan del placer de comer y la cocina y de su lugar en la memoria de cada cual."
70,"[[' '], ['\n            Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n      '], [' '], ['Nº de páginas:'], [' '], ['256'], ['Editorial:'], [' '], ['ANAYA MULTIMEDIA'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788441544901'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['25/11/2021']]",David de Jorge,"999 recetas pr@cticas para cada d@a, elaboradas por uno de los cocineros m@s reputados del pa@s. M@s de 999 recetas sin bobadas llega de la mano de dos de las  estrellas m@s brillantes del firmamento gastron@mico, Mart@n Berasategui  y David de Jorge. Recetas pr@cticas para el men@ de cada d@a presentadas  en el programa de cocina m@s irreverente y de m@s audiencia de la televisi@n vasca: Robin Food. Atrac@n a mano armada. Una cocina sencilla y con sentido com@n toma forma en este nutrido  recetario que se aleja de las extravagancias y de los ingredientes  ex@ticos, recetas para gente ocupada y con buen gusto: ensaladas, sopas  y cremas, bocadillos, salsas y aderezos, pero tambi@n platos elaborados y c@cteles para las ocasiones m@s especiales."
71,"[[' '], ['\n            Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n          '], [' '], [' '], [' '], ['\n        Ficha técnica de VELOCIDAD CUCHARA. COCINA RICO TODOS LOS DIAS\n      '], [' '], ['Nº de páginas:'], [' '], ['256'], ['Editorial:'], [' '], ['ANAYA MULTIMEDIA'], ['Idioma:'], [' '], ['CASTELLANO'], ['Encuadernación:'], [' '], ['Tapa dura'], ['ISBN:'], [' '], ['9788441544901'], ['Año de edición:'], [' '], ['2021'], ['Plaza de edición:'], [' '], ['ES'], [' '], ['Fecha de lanzamiento:'], [' '], ['25/11/2021']]",Martin Berasategui,"Recetas sin postureo por David de Jorge y Martín Berasategui. Vuelve el dúo más querido de la cocina española con un libro de recetas  prácticas, sin secretos y con mucha miga para nuestro menú diario. Una  cocina sencilla, que contagia el buen rollo y el entusiasmo y convierte el mundo de la gastronomia en algo accesible y divertido. Huyendo de extravagancias, bobadas e ingredientes extraños, Martin  Berasategui y David de Jorge nos dan las claves mas deliciosas para  sobrevivir a una vida ocupada. Ensaladas, sopas, cremas, carnes, salsas,  aderezos, postres, arroces y pastas desfilan por este libro con el que preparar comida de verdad. Recetas disfrutonas para el siglo XXI. La critica ha dicho..."
